bill_id,primary sponsor,bill_title
SJR 23,Sater,Modifies the law relating to initiative petitions
SB 588,Shalonn Curls,Modifies provisions relating to petitions for the expungement of criminal records
SB 916,Schaefer,Modifies definitions in the Missouri Human Rights Act
HB 1969,"Anderson, Sonya",Changes the laws regarding the confiscation of animals
SCR 65,Schaefer,Establishes the third Monday of June as Ride to Work Day in Missouri
SB 771,Onder,Modifies the law relating to paper ballots
SCR 63,Brian Munzlinger,Urges the Missouri congressional delegation to support the use of science-based data to assess the impacts and regulation of modern agricultural technologies
SB 873,Pearce,"Creates the Missouri Science, Technology, Engineering and Mathematics Initiative"
HB 1945,"Spencer, Bryan","Prohibits the use of automated traffic enforcement systems, and requires any political subdivision to complete or terminate any automated traffic enforcement contract within one year"
SB 966,Schaaf,Transfers powers of the Missouri Consolidated Health Care Plan Board to the Office of Administration
SB 805,Onder,Modifies provisions relating to tax increment financing
SB 793,Richard,Modifies provisions relating to civil actions brought under merchandising practices and products liability provisions of law
SB 848,Emery,Modifies provisions relating to rate schedules authorized for certain utilities outside of general rate proceedings
SB 830,Wasson,Prohibits a health carrier or other insurer that writes vision insurance from requiring an optometrist to provide services or materials at a discount that are not covered and reimbursed under the plan
HB 1506,"Ellington, Brandon",Repeals the provision allowing the Board of Probation and Parole to charge an offender an intervention fee
SB 625,Walsh,"Designates a portion of state highway 367 in St. Louis County as ""Sgt. Peggy Vassallo Way"""
HB 2492,"Brown, Cloria",Allows kinship placements for foster children
SB 972,Silvey,Provides MO HealthNet reimbursement for behavior assessment and intervention
SB 1005,Walsh,Modifies the law relating to meningococcal vaccines for students enrolled at public institutions of higher education
HB 2106,"Cornejo, Robert",Changes provisions relating to trusts and estates and establishes the Missouri Uniform Powers of Appointment Act
SB 806,Onder,Modifies provisions relating to collective bargaining representation for public employees
SB 1074,Schmitt,Modifies provisions relating to the ABLE act
SB 812,Keaveny,"Allows the circuit court in St. Louis City to collect a fee not to exceed twenty dollars, rather than fifteen, to go toward the law library"
SB 596,Kraus,"Adds the real property of a vineyard and related buildings to the definition of ""agricultural and horticultural property"" for property tax purposes"
SCR 56,Brown,Designates May as Cystic Fibrosis Awareness Month
SB 719,Emery,Requires the State Board of Education to develop a simplified annual school report card
SB 622,Brian Munzlinger,Modifies provisions relating to mine property
SB 613,Jay Wasson,Enacts new provisions of law relating to the workers' compensation insurance premiums of volunteer fire departments
SB 768,Schaaf,Establishes a Prescription Drug Monitoring Act
HB 2433,"McGaugh, Joe Don",Modifies provisions relating to county prosecuting attorneys
SB 868,Wasson,Extends a sunset provision for coverage of early refills of prescription eye drops
SB 951,Wasson,Modifies provisions of the Missouri Preneed Funeral Contract Act
SB 994,Munzlinger,Allows the Missouri Wine and Grape Board to oversee and provide any professional or legal services on the distribution of wine to effectuate the Board's marketing goals
SB 823,Kraus,Creates a state and local sales tax exemption for internet access or the use of internet access
SB 1091,Riddle,Provides that a person who is injured by a product has 10 years after the sale or lease of the product to bring a suit for damages
SB 964,Wallingford,Modifies provisions of law relating to child custody orders
SB 658,Wasson,Allows certain offenses to be prosecuted in the county in which the victim resides or conducts business or where stolen property was located
SB 1144,Brown,Modifies the process for promulgation of an emergency rule by a state agency
SB 1112,Richard,"Creates the ""Capitol Complex Tax Credit Act"""
SB 1096,Joseph Keaveny,Modifies provisions pertaining to non-participating manufacturers in the Master Settlement Agreement
HB 2481,"Pfautsch, Donna","Designates the month of February as ""Teen Dating Violence Awareness Month"""
SB 700,Schatz,Modifies the law relating to workers' compensation premium rates
SB 1131,Sifton,Provides licensing and taxation for daily fantasy sports games
SB 1137,Sater,Creates a tax credit for certain organizations working with ex-offenders
SB 577,Keaveny,"Modifies laws regarding the liability of attorneys in fact, modification of irrevocable trusts, court removal of a trustee, application of the Principal and Income Act, and the time limit for the issuance of letters of administration"
SB 1004,Onder,Modifies Supreme Court Rule 52.08 to prohibit political subdivisions from joining certain class actions
SB 783,Onder,Authorizes telephone companies to elect to have their tangible personal property assessed in accordance with a depreciation schedule
SB 1026,Schatz,Creates a lifetime permit to carry concealed firearms
HB 2523,"Fraker, Lyndall",Modifies provisions relating to preneed contracts
HB 2618,"McGaugh, Joe Don",Requires certain specified crime scene photographs or video recordings to be considered closed records and not subject to disclosure under the Open Meetings and Records Law
SB 591,Parson,Modifies provisions relating to expert witnesses
HB 2822,"Jones, Caleb","Prohibits public institutions of higher education from paying for or reimbursing out-of-state travel expenses for spouses of full-time employees, unless the spouse is also a full-time employee."
SB 572,Schmitt,Modifies provisions relating to municipal courts
SB 1111,Brown,Modifies provisions of law relating to MO HealthNet managed care
SB 802,Sater,"Prohibits abortions performed solely because of a prenatal diagnosis, test, or screening indicating Down Syndrome or the potential of Down Syndrome in an unborn child"
SB 774,Schmitt,Modifies the gubernatorial appointment process for acting directors and members of boards and commissions
HB 2558,"McCaherty, John",Changes the laws regarding custody of in vitro human embryos
SB 986,Brown,Authorizes the conveyance of certain state properties
SB 887,Walsh,Establishes the Advance Health Care Directive Registry
HB 2017,"Flanigan, Tom",To appropriate money for capital improvement and other purposes for the several departments of state government
SB 1075,Wallingford,Creates the Silver Alert System to aid in identifying and locating a missing endangered person
SB 644,Onder,"Modifies provisions relating to abortion, including donation of fetal tissue, tissue reports, physician privileges, and ambulatory surgical center licensing and inspections"
HB 2101,"Fitzpatrick, Scott",Allows any person to apply for a liquor license to sell intoxicating liquor on a boat carrying 30 passengers or more
HB 2783,"Pike, Patricia","Designates the month of November as ""Diabetes Awareness Month"" in Missouri"
SB 804,Onder,Adds the element of advertising to the crimes of sexual trafficking of a child and trafficking for the purposes of sexual exploitation
HB 2624,"Lant, Bill",Changes the laws regarding the precedence of orders entered by a juvenile court
HB 2327,"Curtis, Courtney Allen",Establishes the Urban Education Institute
SB 1117,Wasson,Modifies provisions relating to residential dwelling rentals
SB 998,Romine,"Subject to appropriations, requires the Department of Elementary and Secondary Education to subsidize the exam fee for those taking the high school equivalency degree exam for the first time"
SB 995,Riddle,Allows entertainment facilities to sell alcoholic beverages through the use of mobile applications
SCR 45,Dixon,Authorizes the republishing of the Revised Statutes of Missouri
HB 2522,"Fraker, Lyndall",Authorizes the next-of-kin of a deceased person to delegate control of the final disposition of the remains
SCR 61,Parson,Applies to Congress for the calling of an Article V convention of states to propose an amendment to the United States Constitution regarding term limits for members of Congress
SB 864,Sater,Provides that only a licensed pharmacist can determine to dispense an emergency supply of medication without the prescriber's authorization
HB 2156,"Davis, Charlie",Changes the laws regarding the Missouri Returning Heroes' Education Act
HB 1646,"Swan, Kathryn",Establishes the Missouri Civics Education Initiative
HB 1716,"Lichtenegger, Donna","Changes the laws by adding virtual institutions to the ""Access Missouri Financial Assistance Program"""
HB 1401,"Conway, Kathie",Allows community college police officers to establish regulations to control vehicular traffic on any thoroughfare owned or maintained by the college
HB 1546,"Lauer, Jeanie",Establishes policies and training for youth suicide awareness and prevention in schools
SB 775,Schaefer,Adds a statutory aggravating circumstance for murder in the first degree for certain acts of terrorism
SB 618,Wallingford,Modifies provisions relating to the detention and shackling of juvenile offenders and detention and shackling of pregnant offenders
HB 2105,"Cornejo, Robert",Modifies laws relating to estate planning
HB 1391,"King, Nick",Extends the sunset date of the Manufacturing Jobs Act
SB 612,Cunningham,Modifies the law relating to the offense of illegal reentry
SB 680,Emery,Modifies retirement benefits for newly elected members of the General Assembly and statewide elected officials
SB 641,Schatz,Creates an income tax deduction for payments received as part of a program that compensates agricultural producers for losses from disaster or emergency
HB 2438,"Corlew, Kevin",Changes the laws regarding asbestos tort claims and asbestos trust claims
SB 1012,Dixon,Allows any single noncharter county judicial circuit to collect a court surcharge to be used towards the maintenance and construction of judicial facilities
SB 660,Wasson,Modifies provisions of law relating to bidding procedures for county depositaries
SB 909,Sater,"Designates the ""Senator Emory Melton Memorial Highway"""
SB 896,Hegeman,Provides that a person who removes an unattended child from a locked car shall not be held liable for damages
SB 1085,Pearce,"Requires the governing board of each public institution of higher education to enter into a memorandum of understanding concerning sexual assault, domestic violence, dating violence, and stalking involving students on and off campus"
SCR 54,Walsh,Urges the Department of Higher Education and Department of Health and Senior Services to encourage the dissemination of information about meningococcal disease and its vaccines
SCR 42,Curls,"Declares November 14, 2016, as Neuroblastoma Cancer Awareness Day"
HB 1892,"Rehder, Holly",Establishes the Narcotics Control Act
HB 2627,"Plocher, Dean",Modifies admissibility of chemical test results in intoxication related proceedings
SB 1094,Kehoe,Creates a property tax exemption for trails operated through railroad easements
SB 968,Brown,Allows current members of the Missouri National Guard and reserve components of the U.S. Armed Forces to receive in-state residency status for the purposes of tuition at higher education institutions
SB 801,Sater,"Establishes the Supporting and Strengthening Families Act relating to guardianships and guidelines for foster child caregivers, foster child involvement in case plans, and permanency hearings"
HB 1679,"Solon, Sheila",Changes the laws regarding the dispensing of contraceptives
SB 884,Munzlinger,Modifies the per barrel fee for the inspection of certain motor fuels
SB 814,Will Kraus,Allows an individual to deduct income earned through active military duty from their Missouri adjusted gross income
SB 1003,Onder,Prohibits political subdivisions from participating in any action in federal court as either a representative or member of a class to enforce or collect any tax
SB 894,Munzlinger,Prohibits private nuisance actions from being brought when the property owner has a government issued permit
SB 879,Brown,Modifies provisions relating to the Missouri Works Program and the United States Department of Defense
SCR 59,Emery,Urges the United States Congress to propose the Regulation Freedom Amendment to the U.S. Constitution
SB 657,Munzlinger,Modifies provisions relating to liability for the use of incompatible motor fuel
SJR 35,Kraus,Creates property tax valuation freeze for the elderly
HB 2004,"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Revenue and Department of Transportation"
SB 915,Schaefer,Designates two memorial highways in Boone County
SB 785,Schaefer,Establishes the Civil Litigation Funding Act
HB 2009,"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Corrections"
HB 1776,"Engler, Kevin",Changes the laws regarding the requirements for the operation of a bingo game
HB 1465,"Burlison, Eric",Changes the laws regarding collaborative practice arrangements between advanced practice registered nurses and physicians
SB 765,Jamilah Nasheed,"Prohibits political subdivisions, public servants, and law enforcement agencies from imposing traffic citation quotas"
HB 2187,"Ross, Robert",Requires the Department of Natural Resources to sell certain lands acquired through environmental settlement funds
HB 1605,"Kelley, Mike",Authorizes an earned income tax credit in Missouri
SB 1028,Jamilah Nasheed,Modifies provisions relating to ratemaking for public utilities
SB 578,Keaveny,Establishes the Missouri Commercial Receivership Act
SB 838,Jamilah Nasheed,Allows the court to order a wireless service provider to transfer the rights of a wireless telephone number to a petitioner under certain circumstances
HB 2424,"Korman, Bart",Modifies provisions relating to the alternative fuel decal fee for plug-in electric hybrid vehicles
SB 664,Parson,Modifies corporate registration report requirements for authorized farm corporations and family farm corporations
SB 1120,Mike Kehoe,Modifies provisions relating to multipurpose water resources
HB 2188,"Hough, Lincoln","Authorizes Greene County, or any city within the county, to impose a sales tax, upon voter approval, to fund early childhood education"
HB 2784,"Pike, Patricia",Changes the laws regarding taxation of aircraft
SB 988,Kraus,Prohibits the Department of Health and Senior Services from requiring hospitals to have fences around helipads
SB 980,Keaveny,Requires public retirement plans to provide certain financial information to participants and modifies the criteria for when a public retirement plan will be deemed delinquent
HB 1583,"Allen, Sue",Changes the laws regarding bullying in schools and establishes specific components that a district must include in its antibullying policy
HB 2662,"Burlison, Eric",Establishes the “Short Term Rental Freedom Act” which prohibits political subdivisions from enacting or enforcing an ordinance prohibiting or unreasonably restricting residential dwelling rentals.
SB 920,Will Kraus,Adjusts the exemption amount allowed for each dependent based on the Consumer Price Index
SB 789,Wasson,Modifies provisions relating to construction contracts entered into by political subdivisions
SB 1009,Riddle,"Designates the ""Trooper James M. Bava Memorial Highway"""
SB 904,Pearce,Modifies provisions related to gifted education
SB 941,Dixon,"Exempts yoga teacher training courses, programs, and schools from provisions regulating proprietary schools"
HB 1993,"Cornejo, Robert",Modifies provisions relating to the Missouri Sunshine Law
SB 635,Hegeman,Establishes the Missouri Palliative Care and Quality of Life Interdisciplinary Council and the Palliative Care Consumer and Professional Information and Education Program
SB 1066,Curls,Allows the Kansas City Police Department chief of police to appoint a lieutenant colonel to be responsible for homeland security matters
SB 847,Ron Richard,"Modifies provisions relating to the collateral source rule and provides that parties may introduce evidence of the actual cost, rather than the value, of the medical care rendered"
HB 1678,"Solon, Sheila",Requires public institutions of higher education to implement memorandums of understanding with law enforcement with respect to sexual assaults on campus
SB 857,Romine,Establishes several provisions relating to financial assistance for dual enrollment courses
SB 686,Wallingford,Modifies how fourth class cities may proceed with road improvements
HB 2234,"Dohrman, Dean","Requires the department of higher education to establish a website containing information directing students to resources including academic programs, financial aid, and transferability of coursework for participating institutions of higher education."
SB 620,Romine,Modifies composition of the Career and Technical Education Advisory Council and requires said council to establish minimum requirement for a career and technical education certificate
HB 2411,"Leara, Mike",Changes the laws regarding motor vehicle warranties to allow component manufacturers to service their products without violating the motor vehicle's warranty
HB 1765,"Cornejo, Robert",Changes provisions relating to judicial proceedings
SB 973,Wasson,Provides that a pharmacist may dispense varying quantities of maintenance medication
SB 639,Riddle,Modifies provisions of the Prosecuting Attorneys and Circuit Attorneys' Retirement System and allows political subdivisions to assign operation of a retirement plan to LAGERS
HB 2380,"Kolkmeyer, Glen",Allows owners of personal motor vehicles and owners of commercial motor vehicles licensed in excess of twelve thousand pounds to apply for special personalized license plates.
HB 1561,"Leara, Mike",Changes the laws regarding the distribution of sales taxes among certain areas of St. Louis County
HB 1955,"Dohrman, Dean",Specifies that unpaid volunteers of a tax-exempt veteran's organization are not subject to the Workers' Compensation Law
HB 2213,"Hinson, Dave",Establishes the Missouri Compassionate Care Act regarding the licensure of medical cannabis centers and cultivation and prodiction facilities to provide medical cannabis to qualifying patients
HB 1709,"Lair, Mike",Modifies provisions relating to the teacher and school employee retirement systems
HB 2057,"Bernskoetter, Mike",Specifies that except for credit card fees incurred no additional fee beyond $100 may be charged to process concealed carry permits and allows military members extra time to renew their permits
HB 1468,"Burlison, Eric",Allows any person to carry a concealed firearm anywhere that isn't expressly prohibited by law
HB 2018,"Flanigan, Tom","Appropriates money for capital improvement projects involving the maintenance, repair, replacement, and improvement of state buildings and facilities"
SB 655,Munzlinger,Repeals the Advisory Council to the Director of the Missouri Agriculture Experiment Station and establishes the Fertilizer Control Board
SB 688,Romine,Establishes the Joint Committee on Public Assistance
HJR 58,"Brown, Wanda",Proposes a constitutional amendment to reduce the amount of time a person is required to be a member of an organization in order to participate in the management of a bingo game
HB 1904,"Lauer, Jeanie",Changes the laws regarding 911 emergency communication services
HB 1754,"Bahr, Kurt",Prohibits a property owners' association from preventing a property owner from placing political signs on his or her property
HB 2011,"Fitzpatrick, Scott","Appropriates money for the expenses, grants, and distributions of the Department of Social Services"
HB 2006,"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Agriculture, Department of Natural Resources, and Department of Conservation"
HB 2030,"Hoskins, Denny",Authorizes a tax deduction equal to fifty percent of the capital gain resulting from the sale of employer securities to a certain Missouri stock ownership plans
HB 1795,"Haefner, Marsha",Requires the Department of Social Services to contract with a third party to verify eligibility data for public assistance programs
HB 1366,"Hubrecht, Tila",Changes the laws regarding the substitution by a pharmacist of an interchangeable biological product for a prescribed product
SB 590,Dixon,Modifies provisions related to crime
SB 579,Bob Onder,Modifies provisions relating to infection reporting of health care facilities
HB 1643,"Hicks, Ron",Makes CPR instruction a high school graduation requirement
HB 2002,"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the State Board of Education and Department of Elementary and Secondary Education"
HB 1979,"Rowden, Caleb","Imposes a six-month rule for lobbying by former members of the general assembly, by former statewide elected officials, and by former holders of an office that required senate confirmation"
HB 1941,"Fitzpatrick, Scott",Excludes any fantasy contest from gambling or advance gambling activity
SB 732,Munzlinger,Creates new provisions relating to the provision of financial assistance for emergency response
HB 2010,"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Mental Health, Board of Public Buildings, and Department of Health and Senior Services"
HB 2014,"Fitzpatrick, Scott",To appropriate money for supplemental purposes for the several departments and offices of state government.
HB 1745,"Brattin, Rick",Changes the laws regarding semitrailer registration requirements
HB 2012,"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of statewide elected officials, the Judiciary, Office of the State Public Defender, and General Assembly"
SB 800,Bob Dixon,"Establishes the ""Meet in Missouri Act"" to provide grants to attract major conventions to Missouri"
SB 794,Wallingford,Creates a sales tax exemption for parts and accessories of certain types of medical equipment
SB 698,Hegeman,Requires a candidate for the office of public administrator to meet the bonding requirements of the office and modifies laws regarding estate administration
HB 2007,"Fitzpatrick, Scott","Appropriates money for the departments of Economic Development; Insurance, Financial Institutions and Professional Registration; and Labor and Industrial Relations"
HB 2008,"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Public Safety"
SB 646,Schupp,Requires the Department of Elementary and Secondary Education to develop training guidelines and school districts to adopt a policy for youth suicide awareness and prevention education
HB 1421,"Walker, Nate","Modifies the definition of ""political subdivision"" as it relates to its cooperation with other political subdivisions to include county sheltered workshop boards"
HB 1434,"Koenig, Andrew",Establishes additional rules and procedures for certain counties' tax increment financing commission
SB 781,Schatz,Enacts new law relating to design-build contracts
HB 2003,"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education"
SB 865,Sater,"Modifies provisions regarding licenses issued by the Board of Pharmacy and covered prescription benefits, delineates procedures for PBMs with regards to MAC lists, and requires health carriers to offer medication synchronization services"
HB 1698,"Rowden, Caleb",Establishes the Meet in Missouri Act to attract national conventions to Missouri
SB 608,Sater,Authorizes certain MO HealthNet health care provider fees
SB 586,Wasson,"Modifies the definition of ""current operating expenditures"" and ""state adequacy target"" for the purposes of state funding and applies the definition of ""average daily attendance"" to charter schools"
HB 1877,"Wood, David",Changes the laws regarding the child abuse and neglect central registry and the reentry of children previously released from Children's Division custody
SB 621,Romine,Modifies provisions relating to telehealth services
HB 2005,"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Office of Administration, Department of Transportation, and Department of Public Safety"
HB 1562,"Haahr, Elijah",Expands the crime of sexual trafficking of a child to include advertising a child participating in a commercial sexual act
HB 2166,"Alferman, Justin",Changes the laws regarding lobbyist expenditures
HB 2680,"Brattin, Rick",Allows owners of property in a residential subdivision to file a petition seeking to have their subdivision excluded from the fire protection district
HB 2459,"Justus, Jeffery",Prohibits any public retirement plan from investing funds with foreign companies that have active ties to any country designated as a state sponsor of terrorism
HB 2127,"Hurst, Tom",Prohibits a person from transporting a minor across state lines to obtain an abortion without the consent required by state law
SCR 68,Schupp,"Expresses support for the practice of Falun Dafa, also known as Falun Gong"
SB 877,Schatz,Enacts new provisions of law relating to professional employer organizations
HB 2163,"Marshall, Nick","Requires a nonprofit corporation that solicits contributions or gifts from the public to provide, upon request, the name and any compensation paid by the corporation to any board member or officer"
SB 606,Sater,Modifies the law relating to prevailing wage
SB 997,Pearce,Establishes several provisions relating to higher education
SB 1095,Wallingford,Establishes the Senior Services Growth and Development Program
HB 1804,"Miller, Rocky","Specifies that the Division of Energy shall review and update, if necessary, the Missouri Comprehensive State Energy Plan"
HB 2545,"Ruth, Becky","Requires candidates for elective public office within a city, town, village, or township to provide additional documentation demonstrating proof of tax payment."
HB 2314,"Leara, Mike",Modifies provisions relating to the St. Louis Public School Retirement System
HB 2355,"Lant, Bill",Establishes the Missouri State Juvenile Justice Advisory Board
HB 1387,"Roeber, Rebecca",Expands the newborn screening requirements to include severe combined immunodeficiency
HB 2521,"English, Keith",Specifies circumstances for which an election watcher may remain in a polling place or in a location where absentee ballots are being prepared for counting and counted.
HB 2446,"Wiemann, John","Specifies that the Governor must, within thirty days, issue a writ of election to supply a vacancy in either house of the General Assembly"
HB 2333,"Korman, Bart",Authorizes a sales tax holiday for products made in the USA
HB 1439,"Mims, Bonnaye",Requires an out-of-state person owning property in this state to have such property managed by a management company located in this state if the property is intended to be rented by another person
HB 2455,"Rowden, Caleb",Authorizes a tax credit for retailers who sell motor fuel consisting of 15 to 50 percent ethanol
SB 856,Silvey,Creates a tax deduction for employee stock ownership plans
HB 1726,"Kidd, Bill",Establishes a renewable power purchase agreement program
SCR 60,Curls,Urges a commitment to equal rights for people with cognitive disabilities to access technology and information
HB 1863,"Korman, Bart",Modifies laws relating to the Missouri State Emergency Management Agency's disaster volunteer program
HB 2384,"Rehder, Holly",Requires elder abuse investigators to provide specified written materials to alleged perpetrators
SB 827,Sifton,Creates the Legislative Task Force on Dyslexia
SB 685,Wallingford,Requires children under the age of 18 to be prosecuted for most criminal offenses in juvenile courts unless the child is certified as an adult
HB 2043,"Swan, Kathryn",Changes the laws regarding the Nurse Licensure Compact
HB 2347,"Cornejo, Robert",Modifies provisions relating to physician referrals to physical therapists
SB 650,Pearce,Modifies the A+ Schools Program by removing the requirement that the student's attendance of public high school occur in the three years immediately prior to graduation
HB 2181,"Fitzpatrick, Scott",Establishes the State Capitol Complex Committee
HB 2580,"Rehder, Holly",Changes the laws regarding the priority of persons to be appointed guardian of an incapacitated person or conservator of a disabled person
HB 2757,"Kolkmeyer, Glen",HCS HB 2757
HB 2202,"Haefner, Marsha",Modifies provisions relating to records of victims of sexual offenses and creates provisions relating to records of minor victims of sexual offenses in the possession of child assessment centers or hospitals
HB 2458,"Mathews, Kirk",Creates and modifies provisions relating to punitive damages
HB 2212,"Hinson, Dave","Adds emergency medical technicians, firefighters, and first responders to the list of mandated reporters of elder abuse"
HCR 63,"Taylor, Jered",Urges Congress to reject and revoke President Obama's Executive Order on firearm control
SB 996,Jason Holsman,Excludes funds designated by taxpayers in an urban district as local early childhood education funds from the local tax revenue calculation used to provide funding to charter schools that have declared themselves as a local educational agency
SB 907,Jill Schupp,Creates a right to unpaid leave for employees that are affected by domestic violence
HB 1708,"Solon, Sheila",Allows political subdivisions to require limited liability companies located within the political subdivision to file an affidavit listing the name and street address of a person who has control of property
HB 1763,"Shull, Noel J",Changes the laws regarding workers' compensation large deductible policies issued by an insurer
SB 1002,Hegeman,Allows the State Auditor to audit community improvement districts
HB 2693,"Barnes, Jay",Allows nonpublic school students to receive reimbursement of higher education costs through the A+ schools program
SB 835,Wasson,Makes the State Board of Nursing the administrative agency responsible for implementing the nursing education incentive program
HB 1658,"Frederick, Keith",Establishes the Show-Me Compassionate Medical Education Act
SB 836,Wasson,Provides that the statutory prohibition of the unlawful practice of optometry shall not apply to students enrolled in an approved school of optometry
HB 2402,"Bondon, Jack",Requires the Department of Health and Senior Services to promulgate regulations for the construction and renovation of hospitals which include certain standards
SB 799,Kraus,Modifies the law relating to business fees
SB 1025,Kraus,Exempts instructional classes from sales tax
HB 1936,"Wilson, Kenneth",Allows sheriffs and deputies to assist in other counties throughout the state
HB 2412,"Fitzwater, Paul",Changes the laws regarding weight limitations for local log trucks and log truck tractors
HB 2561,"Brown, Cloria",Changes the laws regarding victims of crimes
SB 947,Parson,Creates regulations for insurance requirements for transportation network companies and transportation network company drivers
