bill_id,bill_title,date,action
SB 662,Adopts the Compact for a Balanced Budget,5/9/16 0:00,Informal Calendar S Bills for Perfection--SCS for SBs 662 & 587-Dixon
SB 733,Authorizes additional circuit judges for certain circuits when indicated by a judicial performance report and repeals provisions regarding the appointment of a janitor-messenger,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 733-Dixon
SB 858,"Suspends state agency activities relating to the Clean Power Plan until a certain stay is lifted, and requires the Department of Natural Resources to submit an extension for submitting a final plan to the EPA upon the Clean Power Plan being upheld in federal court",5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 858-Romine, with SCS & SS for SCS (pending)"
SB 798,Requires the Department of Revenue to pay the taxpayers' attorneys' fees in income tax cases when the taxpayer receives a favorable judgement,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 798-Kraus, with SCS"
SB 734,Allows sheriffs and deputies to assist in other counties throughout the state,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 734-Dixon
SB 853,Creates requirements for co-payments and notice of insurance coverage for occupational therapy,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 853-Brown
SB 851,Allows qualified motorcycle operators to operate motorcycles and motortricycles without protective headgear under certain conditions,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SBs 851 & 694-Brown, with SCS"
SB 575,Phases out the St. Louis City earnings tax,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 575-Schaefer, with SCS, SS for SCS & SA 1 (pending)"
SB 871,Modifies provisions relating to emergency communications services,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 871-Wallingford
SB 792,Repeals certain provisions relating to products liability civil actions,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 792-Richard
SJR 23,Modifies the law relating to initiative petitions,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SJR 23-Sater, with SS (pending)"
SB 916,Modifies definitions in the Missouri Human Rights Act,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 916-Schaefer
SCR 60,Urges a commitment to equal rights for people with cognitive disabilities to access technology and information,5/9/16 0:00,Resolutions Calendar - Reported from Committee--SCR 60-Curls
SB 771,Modifies the law relating to paper ballots,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 771-Onder
SCR 63,Urges the Missouri congressional delegation to support the use of science-based data to assess the impacts and regulation of modern agricultural technologies,5/9/16 0:00,Resolutions Calendar - Reported from Committee--SCR 63-Curls and Munzlinger
SB 966,Transfers powers of the Missouri Consolidated Health Care Plan Board to the Office of Administration,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 966-Schaaf
SB 805,Modifies provisions relating to tax increment financing,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 805-Onder, with SCS"
SB 793,Modifies provisions relating to civil actions brought under merchandising practices and products liability provisions of law,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 793-Richard
SB 848,Modifies provisions relating to rate schedules authorized for certain utilities outside of general rate proceedings,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 848-Emery, with SCS"
SB 830,Prohibits a health carrier or other insurer that writes vision insurance from requiring an optometrist to provide services or materials at a discount that are not covered and reimbursed under the plan,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 830-Wasson, with SCS"
SB 1076,Modifies certificate of need requirements for long-term care facilities,5/9/16 0:00,"Formal Calendar S Bills for Perfection--SB 1076-Parson, with SCS"
SR 2062,Urges the United States Air Force to support basing and operating aircraft at Whiteman Air Force Base,5/9/16 0:00,Resolutions Calendar - Reported from Committee--SR 2062-Pearce
SB 972,Provides MO HealthNet reimbursement for behavior assessment and intervention,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 972-Silvey
SB 1005,Modifies the law relating to meningococcal vaccines for students enrolled at public institutions of higher education,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 1005-Walsh
SB 806,Modifies provisions relating to collective bargaining representation for public employees,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 806-Onder, with SCS"
SB 1074,Modifies provisions relating to the ABLE act,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 1074-Schmitt, with SCS"
SB 812,"Allows the circuit court in St. Louis City to collect a fee not to exceed twenty dollars, rather than fifteen, to go toward the law library",5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 812-Keaveny
SB 596,"Adds the real property of a vineyard and related buildings to the definition of ""agricultural and horticultural property"" for property tax purposes",5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 596-Kraus, with SCS"
SCR 56,Designates May as Cystic Fibrosis Awareness Month,5/9/16 0:00,Resolutions Calendar - Reported from Committee--SCR 56-Brown
SB 719,Requires the State Board of Education to develop a simplified annual school report card,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 719-Emery, with SCS"
SB 622,Modifies provisions relating to mine property,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 622-Romine, with SCS"
SB 868,Extends a sunset provision for coverage of early refills of prescription eye drops,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 868-Wasson
SB 951,Modifies provisions of the Missouri Preneed Funeral Contract Act,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 951-Wasson, with SA 1 (pending)"
SB 1091,Provides that a person who is injured by a product has 10 years after the sale or lease of the product to bring a suit for damages,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 1091-Riddle
SB 964,Modifies provisions of law relating to child custody orders,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 964-Wallingford, with SCS (pending)"
SB 1144,Modifies the process for promulgation of an emergency rule by a state agency,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 1144-Brown
SB 1096,Modifies provisions pertaining to non-participating manufacturers in the Master Settlement Agreement,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 1096-Dixon and Keaveny, with SS (pending)"
SB 1131,Provides licensing and taxation for daily fantasy sports games,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 1131-Sifton
SB 1004,Modifies Supreme Court Rule 52.08 to prohibit political subdivisions from joining certain class actions,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 1004-Onder
SB 783,Authorizes telephone companies to elect to have their tangible personal property assessed in accordance with a depreciation schedule,5/9/16 0:00,Informal Calendar S Bills for Third Reading--SB 783-Onder
SB 1026,Creates a lifetime permit to carry concealed firearms,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 1026-Schatz, with SCS"
SB 1111,Modifies provisions of law relating to MO HealthNet managed care,5/9/16 0:00,Formal Calendar S Bills for Perfection--SB 1111-Brown
SB 802,"Prohibits abortions performed solely because of a prenatal diagnosis, test, or screening indicating Down Syndrome or the potential of Down Syndrome in an unborn child",5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 802-Sater
SB 774,Modifies the gubernatorial appointment process for acting directors and members of boards and commissions,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 774-Schmitt
SB 986,Authorizes the conveyance of certain state properties,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 1075,Creates the Silver Alert System to aid in identifying and locating a missing endangered person,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 1075-Wallingford
SB 644,"Modifies provisions relating to abortion, including donation of fetal tissue, tissue reports, physician privileges, and ambulatory surgical center licensing and inspections",5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 644-Onder, with SCS"
SB 1002,Allows the State Auditor to audit community improvement districts,5/9/16 0:00,H Calendar Senate Bills for Third Reading
SB 1117,Modifies provisions relating to residential dwelling rentals,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 1117-Wasson, with SCS"
SB 998,"Subject to appropriations, requires the Department of Elementary and Secondary Education to subsidize the exam fee for those taking the high school equivalency degree exam for the first time",5/9/16 0:00,Formal Calendar S Bills for Third Reading--SCS for SB 998-Romine (In Fiscal Oversight)
SB 995,Allows entertainment facilities to sell alcoholic beverages through the use of mobile applications,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 995-Riddle
SCR 61,Applies to Congress for the calling of an Article V convention of states to propose an amendment to the United States Constitution regarding term limits for members of Congress,5/9/16 0:00,Resolutions Calendar - Reported from Committee--SCR 61-Parson
SB 775,Adds a statutory aggravating circumstance for murder in the first degree for certain acts of terrorism,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 775-Schaefer
SB 937,"Extends the authority for regional jail districts to impose a sales tax until September 30, 2027",5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 932,Modifies provisions relating to bonded entities,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 735,"Modifies laws relating to the Court Automation Fund, the Basic Legal Services Fund, and public defenders",5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 680,Modifies retirement benefits for newly elected members of the General Assembly and statewide elected officials,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 680-Emery
SB 788,Requires that municipalities in the St. Louis County sales tax pool receive at least 50% of the revenue generated inside a given municipality,5/9/16 0:00,Formal Calendar S Bills for Third Reading--SS for SCS for SB 788-Schatz (In Fiscal Oversight)
SCR 45,Authorizes the republishing of the Revised Statutes of Missouri,5/9/16 0:00,House Calendar Senate Concurrent Resolutions
SB 1012,Allows any single noncharter county judicial circuit to collect a court surcharge to be used towards the maintenance and construction of judicial facilities,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 1012-Dixon
SB 896,Provides that a person who removes an unattended child from a locked car shall not be held liable for damages,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 896-Hegeman
SB 1085,"Requires the governing board of each public institution of higher education to enter into a memorandum of understanding concerning sexual assault, domestic violence, dating violence, and stalking involving students on and off campus",5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 1085-Pearce
SCR 54,Urges the Department of Higher Education and Department of Health and Senior Services to encourage the dissemination of information about meningococcal disease and its vaccines,5/9/16 0:00,Resolutions Calendar - Reported from Committee--SCR 54-Walsh
SB 795,Implements the Streamlined Sales and Use Tax Agreement,5/9/16 0:00,"Formal Calendar S Bills for Perfection--SB 795-Wallingford, with SCS"
SB 1094,Creates a property tax exemption for trails operated through railroad easements,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 1094-Kehoe, with SCS"
SCR 43,Establishes the Joint Committee on Capitol Improvements,5/9/16 0:00,H Calendar S Concurrent Resolutions for Third Reading
SB 1003,Prohibits political subdivisions from participating in any action in federal court as either a representative or member of a class to enforce or collect any tax,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 1003-Onder
SB 894,Prohibits private nuisance actions from being brought when the property owner has a government issued permit,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 894-Munzlinger, with SS (pending)"
SCR 59,Urges the United States Congress to propose the Regulation Freedom Amendment to the U.S. Constitution,5/9/16 0:00,Resolutions Calendar - Reported from Committee--SCR 59-Emery
SJR 35,Creates property tax valuation freeze for the elderly,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SJR 35-Kraus, with SCS"
SB 887,Establishes the Advance Health Care Directive Registry,5/9/16 0:00,H Calendar Senate Bills for Third Reading
SB 676,Extends the expiration date on a provision that allows counties to decrease their annual budgets,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS (Fiscal Review 5/6/16)
SB 785,Establishes the Civil Litigation Funding Act,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 785-Schaefer, with SCS, SS for SCS, SA 1, SSA 1 for SA 1, SA 1 to SSA 1 for SA 1 & point of order (pending)"
SB 1028,Modifies provisions relating to ratemaking for public utilities,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 1028-Silvey, et al, with SCS"
SB 1120,Modifies provisions relating to multipurpose water resources,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 1120-Hegeman, et al"
SB 799,Modifies the law relating to business fees,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 897,Removes penalties for taxes paid under protest or as part of a disputed assessment,5/9/16 0:00,H Calendar Senate Bills for Third Reading
SB 980,Requires public retirement plans to provide certain financial information to participants and modifies the criteria for when a public retirement plan will be deemed delinquent,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 980-Keaveny, with SCS, SS for SCS, SA 1 & SA 3 to SA 1 (pending)"
SB 818,Designates the German Heritage Corridor in Missouri,5/9/16 0:00,H Calendar Senate Bills for Third Reading
SB 920,Adjusts the exemption amount allowed for each dependent based on the Consumer Price Index,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 920-Schmitt and Kraus
SB 789,Modifies provisions relating to construction contracts entered into by political subdivisions,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SBs 789 & 595-Wasson, with SCS"
SCR 68,"Expresses support for the practice of Falun Dafa, also known as Falun Gong",5/9/16 0:00,Resolutions Calendar - Reported from Committee--SCR 68-Schupp
SB 1066,Allows the Kansas City Police Department chief of police to appoint a lieutenant colonel to be responsible for homeland security matters,5/9/16 0:00,Informal Calendar S Bills for Perfection--SB 1066-Curls
SB 836,Provides that the statutory prohibition of the unlawful practice of optometry shall not apply to students enrolled in an approved school of optometry,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS (Fiscal Review 5/6/16)
SB 700,Modifies the law relating to workers' compensation premium rates,5/9/16 0:00,"In Conference--SB 700-Schatz, with HA 1, as amended & HA 2 (Senate adopted CCR & passed CCS)"
SB 857,Establishes several provisions relating to financial assistance for dual enrollment courses,5/9/16 0:00,Formal Calendar S Bills for Third Reading--SCS for SBs 857 & 712-Romine (In Fiscal Oversight)
SB 686,Modifies how fourth class cities may proceed with road improvements,5/9/16 0:00,"Informal Calendar S Bills for Perfection--SB 686-Wallingford, with SCS"
SB 738,Removes the expiration of the tax check off for the organ donor program fund,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 833,Authorizes financial institutions to offer savings promotion programs,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 702,Modifies the law relating to unemployment compensation benefits,5/9/16 0:00,"S Bills with H Amendments--SB 702-Munzlinger, with HA 1"
SB 618,Modifies provisions relating to the detention and shackling of juvenile offenders and detention and shackling of pregnant offenders,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS (In Fiscal Review)
SB 869,"Prohibits the adoption of any tax increment financing from superseding, altering, or reducing sheltered workshop property tax levies",5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 861,Modifies provisions relating to transportation facilities,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 800,Modifies provisions relating to political subdivisions,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 827,Modifies several provisions relating to elementary and secondary education,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 794,Modifies provisions relating to taxation,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS (Fiscal Review 5/6/16)
SB 996,Excludes funds designated by taxpayers in an urban district as local early childhood education funds from the local tax revenue calculation used to provide funding to charter schools that have declared themselves as a local educational agency,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 646,Requires the Department of Elementary and Secondary Education to develop training guidelines and school districts to adopt a policy for youth suicide awareness and prevention education,5/9/16 0:00,H Calendar Senate Bills for Third Reading
SB 997,Establishes several provisions relating to higher education,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 873,"Creates the Missouri Science, Technology, Engineering and Mathematics Initiative",5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 909,Designates certain state highways and creates a process for the naming of additional highways and bridges,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 947,Creates regulations for insurance requirements for transportation network companies and transportation network company drivers,5/9/16 0:00,H Calendar Senate Bills for Third Reading
SB 1025,Exempts instructional classes from sales tax,5/9/16 0:00,H Calendar Senate Bills for Third Reading (In Fiscal Review)
SB 852,Designates the Trooper Gary Snodgrass Memorial Bridge,5/9/16 0:00,"Requests to Recede or Grant Conference Calendar--SB 852-Brown, with HA 1, HA 2, as amended & HA 3 (Senate requests House recede or grant conference)"
SB 639,Modifies provisions of the Prosecuting Attorneys and Circuit Attorneys' Retirement System and allows political subdivisions to assign operation of a retirement plan to LAGERS,5/9/16 0:00,"In Conference--SB 639-Riddle, with HCS, as amended"
SB 638,"Creates the ""Missouri Civics Education Initiative""",5/9/16 0:00,"In Conference--SCS for SB 638-Riddle and Silvey, with HA 1, HA 2, HA 3, HA 4, HA 5, as amended, HA 6, HA 7, HA 8, HA 9 & HA 10"
SB 640,Modifies provisions relating to registration of certain motor vehicles,5/9/16 0:00,"Requests to Recede or Grant Conference Calendar--SB 640-Schatz, with HCS, as amended (Senate requests House recede or grant conference)"
SB 814,Allows an individual to deduct income earned through active military duty from their Missouri adjusted gross income,5/9/16 0:00,"S Bills with H Amendments--SCS for SB 814-Wallingford, et al, with HCS"
SB 677,Establishes requirements for authorized entities to stock epinephrine (EPI) auto-injectors for use in emergencies,5/9/16 0:00,"In Conference--SB 677-Sater, with HCS, as amended"
SB 988,Prohibits the Department of Health and Senior Services from requiring hospitals to have fences around helipads,5/9/16 0:00,"Requests to Recede or Grant Conference Calendar--SB 988-Kraus, with HA 1, HA 2, HA 3, HA 4, as amended & HA 5 (Senate requests House recede or grant conference)"
SB 635,Establishes the Missouri Palliative Care and Quality of Life Interdisciplinary Council and the Palliative Care Consumer and Professional Information and Education Program,5/9/16 0:00,"In Conference--SB 635-Hegeman, with HCS, as amended"
SB 608,Authorizes certain MO HealthNet health care provider fees,5/9/16 0:00,"In Conference--SS for SB 608-Sater, with HCS, as amended"
SB 732,Creates new provisions relating to the provision of financial assistance for emergency response,5/9/16 0:00,"In Conference--SS for SB 732-Munzlinger, with HCS, as amended (Senate adopted CCR & passed CCS)"
SB 577,"Modifies laws regarding the liability of attorneys in fact, modification of irrevocable trusts, court removal of a trustee, application of the Principal and Income Act, and the time limit for the issuance of letters of administration",5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 994,Allows the Missouri Wine and Grape Board to oversee and provide any professional or legal services on the distribution of wine to effectuate the Board's marketing goals,5/9/16 0:00,"Requests to Recede or Grant Conference Calendar--SB 994-Munzlinger, with HCS, as amended (Senate requests House recede or grant conference)"
SB 607,Requires the Department of Social Services to contract with a third party to verify eligibility for public assistance programs,5/9/16 0:00,"In Conference--SB 607-Sater, with HCS, as amended"
SB 621,Modifies provisions relating to telehealth services,5/9/16 0:00,"In Conference--SS for SB 621-Romine, with HCS, as amended"
SB 688,Establishes the Joint Committee on Public Assistance,5/9/16 0:00,"S Bills with H Amendments--SCS for SBs 688 & 854-Romine, with HCS, as amended"
SB 765,"Prohibits political subdivisions, public servants, and law enforcement agencies from imposing traffic citation quotas",5/9/16 0:00,"In Conference--SCS for SB 765-Schmitt and Nasheed, with HCS, as amended"
SB 867,"Contains provisions relating to fire protection, sheltered workshops, assessments of mining property, consolidation of road districts, and property managers",5/9/16 0:00,"In Conference--SB 867-Sater, with HCS, as amended"
SB 921,Modifies requirements for the reporting of crimes and domestic violence incidents by law enforcement agencies,5/9/16 0:00,"In Conference--SCS for SB 921-Riddle, with HA 1, as amended, HA 2, HA 3, HA 4, HA 5 & HA 6, as amended"
SB 865,"Modifies provisions regarding licenses issued by the Board of Pharmacy and covered prescription benefits, delineates procedures for PBMs with regards to MAC lists, and requires health carriers to offer medication synchronization services",5/9/16 0:00,"In Conference--SS for SCS for SBs 865 & 866-Sater, with HCS, as amended (Senate adopted CCR & passed CCS)"
SB 650,Modifies the A+ Schools Program by removing the requirement that the student's attendance of public high school occur in the three years immediately prior to graduation,5/9/16 0:00,"In Conference--SCS for SB 650-Pearce, with HA 1, HA 2, HA 3, HA 4, HA 5, HA 6, HA 7, HA 8, as amended & HA 9"
SB 864,Provides that only a licensed pharmacist can determine to dispense an emergency supply of medication without the prescriber's authorization and may dispense varying quantities of maintenance medication,5/9/16 0:00,"In Conference--SB 864-Sater, with HCS, as amended"
SB 698,Requires a candidate for the office of public administrator to meet the bonding requirements of the office and modifies laws regarding estate administration,5/9/16 0:00,H Calendar Senate Bills for Third Reading w/HCS
SB 578,Establishes the Missouri Commercial Receivership Act and exempts firearms from attachment in bankruptcy proceedings,5/9/16 0:00,"In Conference--SCS for SB 578-Keaveny, with HCS, as amended (Senate adopted CCR & passed CCS)"
SB 572,"Modifies provisions relating to municipal courts, local abatement ordinances, and disincorporation procedures",5/9/16 0:00,"In Conference--SS for SCS for SB 572-Schmitt, with HCS, as amended(Senate adopted CCR & passed CCS)"
